iter	Passed	Remaining
0	150	150246
1	152	76124
2	156	52131
3	159	39813
4	161	32203
5	164	27172
6	165	23510
7	170	21083
8	173	19133
9	176	17428
10	178	16088
11	180	14899
12	183	13944
13	185	13089
14	187	12299
15	188	11608
16	190	11008
17	192	10498
18	194	10016
19	196	9628
20	199	9289
21	200	8925
22	202	8589
23	203	8276
24	204	7981
25	205	7711
26	206	7458
27	208	7225
28	209	7016
29	211	6825
30	212	6638
31	213	6452
32	214	6276
33	215	6109
34	215	5950
35	216	5802
36	217	5662
37	218	5528
38	219	5400
39	219	5277
40	220	5169
41	221	5059
42	222	4954
43	227	4938
44	229	4862
45	230	4774
46	231	4687
47	232	4606
48	233	4532
49	234	4459
50	235	4388
51	236	4319
52	239	4271
53	240	4213
54	242	4160
55	243	4105
56	244	4047
57	245	3990
58	246	3935
59	247	3882
60	248	3830
61	249	3779
62	250	3731
63	252	3687
64	257	3703
65	259	3666
66	260	3627
67	261	3590
68	263	3553
69	264	3516
70	265	3478
71	267	3443
72	268	3406
73	270	3378
74	271	3353
75	273	3325
76	274	3294
77	275	3261
78	277	3229
79	278	3197
80	279	3165
81	280	3135
82	280	3101
83	281	3074
84	283	3046
85	284	3025
86	286	3005
87	287	2981
88	288	2957
89	290	2932
90	291	2911
91	292	2890
92	294	2867
93	295	2845
94	296	2823
95	297	2802
96	301	2804
97	303	2790
98	304	2770
99	305	2750
100	306	2729
101	307	2707
102	308	2687
103	309	2667
104	310	2647
105	311	2627
106	313	2613
107	315	2609
108	317	2593
109	318	2576
110	319	2557
111	320	2540
112	321	2523
113	322	2506
114	323	2490
115	324	2473
116	325	2457
117	326	2443
118	328	2433
119	329	2419
120	331	2406
121	332	2389
122	333	2375
123	334	2359
124	334	2344
125	336	2331
126	337	2317
127	338	2305
128	341	2307
129	343	2299
130	344	2285
131	345	2272
132	346	2259
133	347	2246
134	348	2234
135	349	2222
136	350	2210
137	352	2202
138	353	2191
139	355	2184
140	357	2178
141	358	2166
142	360	2158
143	361	2148
144	362	2137
145	363	2126
146	364	2116
147	365	2106
148	367	2096
149	368	2088
150	371	2087
151	373	2080
152	374	2071
153	375	2063
154	376	2055
155	378	2047
156	379	2040
157	381	2032
158	382	2024
159	383	2015
160	386	2013
161	388	2009
162	389	2002
163	391	1994
164	392	1985
165	393	1976
166	394	1967
167	395	1958
168	396	1949
169	397	1940
170	398	1933
171	401	1931
172	403	1926
173	404	1920
174	405	1912
175	407	1905
176	408	1898
177	409	1891
178	410	1883
179	411	1875
180	413	1869
181	414	1864
182	416	1858
183	418	1853
184	419	1847
185	420	1840
186	421	1833
187	422	1826
188	424	1820
189	425	1813
190	426	1806
191	427	1800
192	429	1796
193	431	1791
194	432	1786
195	433	1778
196	434	1771
197	435	1764
198	436	1758
199	437	1751
200	438	1744
201	439	1737
202	441	1732
203	442	1728
204	446	1733
205	448	1729
206	450	1724
207	451	1720
208	452	1714
209	454	1708
210	455	1702
211	456	1697
212	457	1691
213	460	1689
214	462	1687
215	463	1682
216	465	1678
217	466	1673
218	468	1671
219	470	1666
220	472	1665
221	476	1668
222	477	1664
223	479	1660
224	480	1656
225	482	1652
226	483	1647
227	485	1642
228	486	1637
229	487	1632
230	489	1629
231	492	1629
232	493	1625
233	494	1619
234	496	1614
235	497	1609
236	498	1604
237	499	1599
238	500	1594
239	501	1589
240	502	1583
241	505	1582
242	507	1580
243	508	1575
244	509	1570
245	511	1569
246	514	1567
247	515	1562
248	516	1558
249	519	1559
250	521	1555
251	523	1552
252	524	1549
253	526	1546
254	527	1541
255	529	1538
256	532	1539
257	536	1542
258	537	1538
259	538	1533
260	539	1528
261	540	1523
262	541	1518
263	542	1513
264	543	1508
265	545	1504
266	550	1510
267	551	1506
268	552	1501
269	553	1497
270	554	1492
271	556	1488
272	557	1483
273	558	1478
274	559	1474
275	560	1470
276	563	1470
277	564	1467
278	566	1463
279	567	1460
280	569	1456
281	570	1453
282	572	1450
283	574	1447
284	578	1450
285	580	1448
286	581	1444
287	583	1441
288	584	1438
289	585	1434
290	587	1430
291	588	1425
292	589	1422
293	591	1420
294	593	1418
295	595	1415
296	596	1411
297	597	1407
298	599	1404
299	600	1400
300	601	1397
301	602	1393
302	604	1390
303	607	1391
304	609	1388
305	610	1385
306	612	1382
307	614	1380
308	616	1377
309	617	1373
310	619	1371
311	622	1371
312	623	1368
313	624	1365
314	626	1361
315	627	1357
316	628	1353
317	629	1349
318	630	1345
319	631	1341
320	632	1336
321	633	1333
322	635	1331
323	636	1328
324	638	1326
325	640	1324
326	642	1322
327	643	1319
328	645	1316
329	646	1312
330	649	1312
331	652	1312
332	653	1309
333	655	1307
334	656	1303
335	657	1300
336	659	1296
337	660	1293
338	662	1291
339	665	1291
340	666	1288
341	668	1285
342	669	1282
343	670	1279
344	672	1276
345	673	1273
346	675	1270
347	678	1272
348	681	1271
349	683	1268
350	684	1265
351	685	1262
352	686	1259
353	688	1255
354	689	1252
355	691	1250
356	694	1250
357	695	1247
358	697	1245
359	699	1243
360	701	1240
361	702	1238
362	703	1234
363	705	1232
364	711	1237
365	712	1234
366	713	1231
367	715	1228
368	716	1225
369	717	1222
370	719	1220
371	723	1222
372	725	1219
373	727	1216
374	728	1213
375	729	1210
376	730	1207
377	731	1204
378	733	1201
379	739	1207
380	742	1206
381	744	1204
382	746	1202
383	748	1200
384	752	1201
385	756	1203
386	757	1200
387	759	1198
388	762	1197
389	769	1202
390	770	1200
391	772	1198
392	774	1195
393	775	1193
394	777	1191
395	781	1192
396	783	1189
397	786	1189
398	788	1187
399	789	1184
400	791	1182
401	797	1185
402	799	1184
403	801	1181
404	802	1178
405	803	1175
406	804	1172
407	806	1169
408	807	1166
409	811	1167
410	814	1167
411	817	1167
412	819	1164
413	820	1161
414	822	1159
415	825	1158
416	829	1159
417	830	1157
418	832	1154
419	834	1151
420	835	1149
421	837	1146
422	840	1146
423	843	1146
424	846	1144
425	847	1142
426	848	1138
427	849	1135
428	851	1133
429	852	1130
430	855	1130
431	859	1129
432	861	1128
433	863	1125
434	864	1123
435	866	1120
436	869	1120
437	871	1117
438	872	1115
439	875	1114
440	877	1111
441	878	1108
442	879	1105
443	880	1102
444	885	1104
445	888	1104
446	890	1101
447	891	1098
448	893	1096
449	894	1093
450	896	1090
451	898	1088
452	899	1086
453	901	1083
454	903	1082
455	905	1080
456	907	1077
457	908	1075
458	910	1072
459	913	1072
460	916	1071
461	918	1069
462	921	1068
463	922	1065
464	923	1062
465	925	1060
466	927	1058
467	929	1056
468	930	1053
469	932	1051
470	935	1050
471	936	1047
472	938	1045
473	940	1043
474	944	1043
475	946	1041
476	948	1040
477	950	1037
478	952	1035
479	953	1033
480	955	1030
481	958	1029
482	959	1027
483	961	1025
484	962	1022
485	964	1019
486	966	1017
487	968	1015
488	969	1013
489	973	1013
490	975	1011
491	977	1008
492	978	1006
493	979	1003
494	981	1001
495	983	999
496	987	999
497	988	996
498	990	994
499	992	992
500	993	989
501	995	987
502	996	984
503	998	982
504	999	979
505	1001	977
506	1002	975
507	1004	973
508	1006	971
509	1009	969
510	1010	966
511	1011	964
512	1013	962
513	1015	960
514	1018	958
515	1019	956
516	1020	953
517	1022	951
518	1023	948
519	1024	945
520	1025	943
521	1026	940
522	1028	938
523	1030	936
524	1034	936
525	1036	933
526	1037	931
527	1038	928
528	1040	926
529	1041	923
530	1044	922
531	1046	920
532	1048	918
533	1049	915
534	1050	913
535	1051	910
536	1053	908
537	1054	905
538	1056	903
539	1058	901
540	1061	900
541	1062	897
542	1063	895
543	1064	892
544	1065	889
545	1066	887
546	1067	884
547	1069	882
548	1071	879
549	1075	879
550	1076	877
551	1078	875
552	1080	873
553	1081	870
554	1083	868
555	1084	865
556	1085	863
557	1086	860
558	1088	858
559	1090	856
560	1092	854
561	1093	852
562	1094	849
563	1095	846
564	1097	844
565	1098	842
566	1099	839
567	1100	837
568	1102	835
569	1105	833
570	1107	832
571	1108	829
572	1110	827
573	1111	824
574	1112	822
575	1114	820
576	1115	817
577	1117	815
578	1119	813
579	1121	811
580	1122	809
581	1123	806
582	1124	804
583	1125	801
584	1126	799
585	1128	797
586	1129	794
587	1130	792
588	1132	790
589	1133	787
590	1135	785
591	1136	783
592	1137	780
593	1138	778
594	1139	775
595	1140	773
596	1141	770
597	1142	768
598	1144	766
599	1145	763
600	1148	762
601	1151	761
602	1153	759
603	1154	757
604	1155	754
605	1157	752
606	1158	749
607	1159	747
608	1160	744
609	1163	743
610	1164	741
611	1166	739
612	1167	737
613	1169	735
614	1170	733
615	1172	730
616	1173	728
617	1174	725
618	1175	723
619	1177	721
620	1179	719
621	1180	717
622	1181	715
623	1183	712
624	1184	710
625	1185	708
626	1186	705
627	1187	703
628	1189	701
629	1190	698
630	1192	697
631	1194	695
632	1195	693
633	1196	690
634	1198	688
635	1199	686
636	1200	683
637	1201	681
638	1202	679
639	1203	676
640	1204	674
641	1206	672
642	1208	670
643	1209	668
644	1210	666
645	1211	664
646	1212	661
647	1213	659
648	1214	657
649	1216	654
650	1217	652
651	1218	650
652	1219	648
653	1223	647
654	1224	645
655	1226	642
656	1227	640
657	1228	638
658	1229	636
659	1231	634
660	1232	631
661	1233	629
662	1234	627
663	1237	626
664	1239	624
665	1240	622
666	1241	619
667	1242	617
668	1243	615
669	1244	613
670	1246	610
671	1247	608
672	1248	606
673	1249	604
674	1251	602
675	1253	600
676	1254	598
677	1255	596
678	1257	594
679	1258	592
680	1259	589
681	1260	587
682	1261	585
683	1262	583
684	1263	581
685	1266	579
686	1268	577
687	1269	575
688	1271	573
689	1272	571
690	1273	569
691	1274	567
692	1276	565
693	1277	563
694	1278	560
695	1279	558
696	1281	556
697	1282	555
698	1285	553
699	1286	551
700	1288	549
701	1289	547
702	1290	545
703	1291	543
704	1292	540
705	1293	538
706	1294	536
707	1296	534
708	1298	533
709	1300	531
710	1301	528
711	1302	526
712	1303	524
713	1304	522
714	1305	520
715	1306	518
716	1307	515
717	1309	514
718	1310	512
719	1312	510
720	1313	508
721	1314	506
722	1315	504
723	1316	501
724	1317	499
725	1318	497
726	1319	495
727	1320	493
728	1321	491
729	1322	489
730	1323	487
731	1325	485
732	1327	483
733	1329	481
734	1330	479
735	1331	477
736	1332	475
737	1333	473
738	1334	471
739	1336	469
740	1337	467
741	1338	465
742	1339	463
743	1341	461
744	1342	459
745	1343	457
746	1344	455
747	1346	453
748	1347	451
749	1348	449
750	1349	447
751	1349	445
752	1351	443
753	1352	441
754	1353	439
755	1354	437
756	1355	435
757	1357	433
758	1358	431
759	1359	429
760	1361	427
761	1362	425
762	1363	423
763	1364	421
764	1365	419
765	1366	417
766	1367	415
767	1368	413
768	1370	411
769	1372	409
770	1373	408
771	1375	406
772	1376	404
773	1377	402
774	1378	400
775	1379	398
776	1380	396
777	1381	394
778	1382	392
779	1383	390
780	1386	388
781	1388	386
782	1389	385
783	1390	383
784	1391	381
785	1392	379
786	1393	377
787	1394	375
788	1396	373
789	1397	371
790	1398	369
791	1400	367
792	1402	366
793	1403	364
794	1405	362
795	1406	360
796	1407	358
797	1408	356
798	1409	354
799	1410	352
800	1411	350
801	1412	348
802	1413	346
803	1416	345
804	1418	343
805	1419	341
806	1420	339
807	1421	337
808	1422	335
809	1423	333
810	1424	332
811	1426	330
812	1427	328
813	1429	326
814	1430	324
815	1431	322
816	1433	320
817	1434	319
818	1435	317
819	1436	315
820	1437	313
821	1438	311
822	1439	309
823	1440	307
824	1442	305
825	1443	304
826	1446	302
827	1448	300
828	1450	299
829	1451	297
830	1453	295
831	1454	293
832	1455	291
833	1457	290
834	1458	288
835	1462	286
836	1464	285
837	1465	283
838	1466	281
839	1468	279
840	1469	277
841	1470	275
842	1471	274
843	1472	272
844	1473	270
845	1476	268
846	1479	267
847	1480	265
848	1481	263
849	1482	261
850	1483	259
851	1485	258
852	1486	256
853	1487	254
854	1488	252
855	1491	250
856	1492	249
857	1494	247
858	1495	245
859	1496	243
860	1497	241
861	1498	239
862	1499	238
863	1500	236
864	1501	234
865	1503	232
866	1505	230
867	1508	229
868	1509	227
869	1511	225
870	1512	223
871	1513	222
872	1514	220
873	1515	218
874	1516	216
875	1517	214
876	1519	213
877	1520	211
878	1522	209
879	1523	207
880	1524	205
881	1525	204
882	1526	202
883	1527	200
884	1528	198
885	1529	196
886	1530	194
887	1531	193
888	1532	191
889	1535	189
890	1536	188
891	1538	186
892	1539	184
893	1540	182
894	1541	180
895	1542	179
896	1543	177
897	1544	175
898	1546	173
899	1547	171
900	1547	170
901	1551	168
902	1553	166
903	1555	165
904	1556	163
905	1557	161
906	1559	159
907	1560	158
908	1561	156
909	1562	154
910	1564	152
911	1566	151
912	1568	149
913	1569	147
914	1570	145
915	1571	144
916	1572	142
917	1573	140
918	1574	138
919	1575	137
920	1577	135
921	1578	133
922	1579	131
923	1580	130
924	1582	128
925	1583	126
926	1584	124
927	1585	123
928	1586	121
929	1587	119
930	1588	117
931	1589	116
932	1591	114
933	1592	112
934	1593	110
935	1595	109
936	1597	107
937	1598	105
938	1599	103
939	1600	102
940	1601	100
941	1602	98
942	1604	96
943	1605	95
944	1606	93
945	1607	91
946	1608	90
947	1610	88
948	1611	86
949	1613	84
950	1614	83
951	1615	81
952	1616	79
953	1617	78
954	1618	76
955	1619	74
956	1620	72
957	1621	71
958	1623	69
959	1625	67
960	1626	66
961	1627	64
962	1629	62
963	1630	60
964	1631	59
965	1632	57
966	1633	55
967	1634	54
968	1635	52
969	1636	50
970	1637	48
971	1638	47
972	1640	45
973	1642	43
974	1643	42
975	1644	40
976	1646	38
977	1647	37
978	1648	35
979	1649	33
980	1650	31
981	1651	30
982	1652	28
983	1654	26
984	1656	25
985	1657	23
986	1658	21
987	1659	20
988	1660	18
989	1662	16
990	1663	15
991	1664	13
992	1665	11
993	1666	10
994	1667	8
995	1669	6
996	1671	5
997	1673	3
998	1674	1
999	1675	0
